sender,content
arnold-j,slafontaine pm jarnold cc subject mkts
arnold-j,john arnold hou ect cc subject ice
arnold-j,slafontaine pm slafontaine cc jarnold subject ngas economy
arnold-j,frank extra var disappears week must band aid term var curve expires back board realizing vol credited vol thanks john
arnold-j,slafontaine john arnold cc subject daily charts matrices hot links
arnold-j,z f trading
arnold-j,mike one hedge funds closes today
arnold-j,rules game flip coin get tails win get heads give keep flipping get tails point walk away money however heads get first double money flip heads times tails get bid offer playing game would pay play charge play
arnold-j,thanks john
arnold-j,jennifer fraser enron john arnold hou ect cc subject ng views wager
arnold-j,john arnold hou ect cc subject congrats
arnold-j,eric thode john arnold hou ect cc subject photograph ecompany
arnold-j,ann schmidt john arnold hou ect cc subject question
arnold-j,amazing
arnold-j,seasonality premiums change time let know change
arnold-j,john arnold hou ect cc subject financial group gas team
arnold-j,white j jennifer jennifer white pm john arnold john arnold cc subject free scuba next week
arnold-j,slafontaine pm john arnold cc subject mkts
arnold-j,steve list slist pm jarnold jarnold cc subject fw trading
arnold-j,greg somehow talked lavo reserve jet sunday around midnight thanks john
arnold-j,david redmond john arnold hou ect mike maggi corp enron john disturnal cal ect cc richard lewis lon ect peter crilly lon ect subject long term volatility
arnold-j,thoughts distillates tight enough gas switching marginal mmbtu demand pulls market oversupplied care
arnold-j,john arnold hou ect cc subject
arnold-j,john arnold hou ect cc subject
arnold-j,john arnold hou ect cc subject burning fat
arnold-j,sharad agnihotri pm mike maggi corp enron john arnold hou ect cc subject gas implied volatility smile
arnold-j,jennifer fraser enron john arnold hou ect cc subject ng views
arnold-j,mark sagel msagel pm john arnold cc subject natural update
arnold-j,kim ward enron pm john arnold hou ect cc subject
arnold-j,john arnold hou ect tom mcquade hou ect cc subject wv love story
arnold-j,caroline abramo pm john arnold hou ect cc subject dinner
arnold-j,eva pao epao pm please respond epao john arnold cc subject
arnold-j,got tix tonight
arnold-j,got tix two though left car walk around
arnold-j,carr futures wacker dr suite chicago il usa tel fax soblander tracking trading nat gas vols pdf
arnold-j,would fit enron culture little contact professionally might worth bringing tell want call
arnold-j,eva pao epao pm please respond epao john arnold cc subject waiting
arnold-j,sales pops wine sales pm jarnold cc subject pops order number john arnold
arnold-j,portfolio tracker ptracker pm please respond websupport jarnold cc subject portfolio jennifer arnold tue may
arnold-j,per give campbell fund read access eol may speed process see trade pre market john
arnold-j,phillip k allen hou ect john arnold hou ect michael w bradley hou ect jennifer fraser hou ect mike grigsby hou ect adam gross hou ect rogers herndon hou ect john j lavorato corp enron kevin mcgowan corp enron vince j kaminski hou ect john l nowlan hou ect kevin presto hou ect fletcher j sturm hou ect hunter shively hou ect bill white na enron cc jeffrey shankman hou ect gary hickerson hou ect subject please note date st meeting january
arnold-j,andrew thomas athomas pm john arnold cc subject
arnold-j,cwomack pm jarnold cc cwomack subject enrononline competitor questionnaire
arnold-j,paul radous corp enron cc per sekse ny ect caroline abramo corp enron john arnold hou ect sara shackleton hou ect william bradford hou ect subject csfb columbia appalachia hedging deal
arnold-j,jeffrey mcmahon hou ect john arnold hou ect brian steinbrueck aa corp enron rick buy hou ect barry schnapper corp enron katie stowers hou ect nicole alvino hou ect russell kelley hou ect cc sue ford hou ect subject vanderbilt presentation
arnold-j,slafontaine pm john arnold cc subject distillates
arnold-j,eva pao epao pm please respond epao john arnold cc subject extra credit
arnold-j,sarah wesner pm john arnold hou ect cc subject fimat loan agreement
arnold-j,ksmalek john arnold cc subject question
arnold-j,terms straddle strikes think edge received buying straddles struck eol offer vice versa big enough compensate think industry view scam another way enron trying rip people although striking mid market probably easier trader actually think striking five cent increments makes sense allows people trade position eol whereas someone buys straddle market moves call ene close trade trade struck market call put times secondly would anticipate non volatility driven option traders may elect sell either put call scenario depending view market direction
arnold-j,parker drew parker drew please respond parker drew john arnold kenneth e girdy kenneth girdy cc subject swaps
arnold-j,john arnold hou ect cc subject british trader sentenced prison
arnold-j,congrats new job
arnold-j,margaret allen john arnold hou ect cc subject nyc rocks
arnold-j,slafontaine jarnold cc subject utilites
arnold-j,free thursday desk
arnold-j,ed starting options eol two weeks discussed earlier appropriate manpower run certain circumstances office like bring john griffith anohter round interviews options trading role permission john
arnold-j,john arnold hou ect cc subject quotes gas hedge smud
arnold-j,rajib following bids asian option gq gq gq
arnold-j,may u tix tonight wanna go
arnold-j,mark sagel msagel pm john arnold jarnold cc subject thursday meeting
arnold-j,thanks lot
arnold-j,please advise john
arnold-j,zerilli frank fzerilli jarnold jarnold cc subject transcanada trade
arnold-j,john arnold hou ect cc subject wefa outlook natural gas
arnold-j,kim ward enron pm john arnold hou ect cc subject
arnold-j,z f
arnold-j,dean favorite restaurant john trying make valentine day plans dean ready already bought valentine card bill john ready already valentine hickey
arnold-j,mark sagel msagel john arnold jarnold cc subject invoice advisory work
arnold-j,liz taylor john arnold hou ect cc subject world phone
arnold-j,john arnold hou ect cc subject
arnold-j,ina find info ena management committee john
arnold-j,heather alon pm john arnold hou ect cc subject video shoot
arnold-j,jeff man looking money hold yearend need talk john
arnold-j,slafontaine pm john arnold cc subject summer inverses
arnold-j,john arnold hou ect cc subject cancelled trader roundtable
arnold-j,please take mailing list
arnold-j,soblander pm john arnold cc subject dinner thursday night
arnold-j,karen arnold klarnold pm john arnold hou ect matthew arnold hou ect cc subject
